"Hospital name","Phone number","Street address","Suburb","Postcode","State","Local Hospital Network (LHN)","Primary Health Network area (PHN)","Website","Description","Sector","Beds","Latitude","Longitude"
"Vision Day Surgery Camberwell","03 9882 1347","27 Denmark Hill Road","Camberwell","3123","Vic","","","www.visioneyeinstitute.com.au","","Private","","-37.832520000000002","145.0556"
"Vision Day Surgery Chatswood","02 9424 9999","Level 3, 270 Victoria Avenue","Chatswood","2086","NSW","","","www.visioneyeinstitute.com.au","","Private","","-33.795180999999999","151.18731399999999"
"Vision Day Surgery Eastern","03 9880 4333","852 Whitehorse Road","Box Hill","3128","Vic","","","www.visioneyeinstitute.com.au","","Private","","-37.817591","145.11943299999999"
"Vision Day Surgery Footscray","03 9689 9233","89 Paisley Street","Footscray","3011","Vic","","","www.visioneyeinstitute.com.au","","Private","","-37.800508000000001","144.89515499999999"
"Vision Day Surgery Hurstville","02 9585 2585","8-10 Woniora Road","Hurstville","2220","NSW","","","www.visioneyeinstitute.com.au","","Private","","-33.966949","151.10043899999999"
"Vision Day Surgery Rivercity","07 3736 3000","401 Milton Road","Auchenflower","4066","Qld","","","www.visioneyeinstitute.com.au","","Private","","-27.473725999999999","152.99557899999999"
"Vision Eye Institute","03 9521 2175","600 St Kilda Road","Melbourne","3004","Vic","","","www.visioneyeinstitute.com.au","","Private","","-37.850605000000002","144.98030399999999"
"Wagga Endoscopy Centre","02 6921 2711","50 Best Street","Wagga Wagga","2650","NSW","","","http://www.curagroup.com.au/wagga-endoscopy-centre","","Private","<50","-35.115814999999998","147.365914"
"Wagga Wagga Hospital","02 5943 1000","260-280 Edward Street","Wagga Wagga","2650","NSW","Murrumbidgee","Murrumbidgee","","Large regional hospital with an emergency department","Public","200-500","-35.118082999999999","147.35691499999999"
"Wagin Hospital","08 9861 3444","Warwick Street","Wagin","6315","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=179","Regional hospital","Public","<50","-33.304662","117.347319"
"Waikerie Health Service","08 8541 0555","1 Lawrie Terrace","Waikerie","5330","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/waikeriehealthservice","Small hospital","Public","<50","-34.182447000000003","139.984917"
"Waikiki Private Hospital","08 9550 0222","221 Willmott Drive","Waikiki","6169","WA","","","www.waikikiprivatehospital.com","","Private","<50","-32.310552000000001","115.763147"
"Walcha Multi Purpose Service","02 6774 2366","Middle Street","Walcha","2354","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-30.987818000000001","151.59141500000001"
"Walcott Street Surgical Centre","08 9227 9004","41 Walcott Street","Mount Lawley","6050","WA","","","","","Private","","-31.936554000000001","115.87414099999999"
"Walgett Multipurpose Service","02 6828 6000","141 Fox Street","Walgett","2832","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-30.030646000000001","148.115959"
"Wangaratta Private Hospital","03 5722 2678","134-150 Templeton Street","Wangaratta","3677","Vic","","","www.wangarattaprivate.com.au","","Private","<50","-36.349299000000002","146.312423"
"Wantirna Health","03 9955 1200","251 Mountain Highway","Wantirna","3152","Vic","Eastern Health (Vic)","Eastern Melbourne","https://www.easternhealth.org.au/locations/wantirna-health","Metropolitan hospital","Public","50-99","-37.848525000000002","145.22590199999999"
"War Memorial Hospital","02 9369 0100","125 Birrell Street","Waverley","2024","NSW","South Eastern Sydney","Central and Eastern Sydney","www.wmhw.org.au/","Specialist rehabilitation hospital","Public","<50","-33.897495999999997","151.253816"
"Waratah Private Hospital","02 9598 0000","31 Dora Street","Hurstville","2220","NSW","","","www.surgeryaustralia.com.au","","Private","50-99","-33.963650999999999","151.10046399999999"
"Warialda Multi Purpose Service","02 6728 9000","Long Street","Warialda","2402","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-29.538834999999999","150.579567"
"Warners Bay Private Hospital","02 4958 4288","Fairfax Road","Warners bay","2282","NSW","","","","","Private","50-99","-32.965262000000003","151.64120399999999"
"Warren Hospital","08 9772 5100","16 Hospital Avenue","Manjimup","6258","WA","WA Country Health Service","Country WA","www.health.wa.gov.au/services/detail.cfm?Unit_ID=184","Small hospital","Public","<50","-34.240969","116.154112"
"Warren Multi Purpose Service","02 6847 7200","Lot 176 Dr Kater Drive","Warren","2824","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-31.693957999999999","147.835679"
"Warringal Private Hospital","03 9274 1300","216 Burgundy Street","Heidelberg","3084","Vic","","","www.warringalprivate.com.au/","","Private","100-199","-37.754418999999999","145.06072800000001"
"Warwick Hospital","07 4660 3900","56 Locke Street","Warwick","4370","Qld","Darling Downs","Darling Downs and West Moreton","www.health.qld.gov.au/services/darlingdowns/ddowns-warwick-hs.asp","Small hospital","Public","50-99","-28.224274999999999","152.01798299999999"
"Wauchope Hospital","02 6580 8000","69 High Street","Wauchope","2446","NSW","Mid North Coast","North Coast","","Small hospital","Public","<50","-31.457239000000001","152.72813099999999"
"Waverley Private Hospital","03 9881 7700","343-357 Blackburn Road","Mount Waverley","3149","Vic","","","www.waverleyprivate.com.au/","","Private","100-199","-37.884632000000003","145.14579800000001"
"Wee Waa Hospital","02 6795 0400","60 Alma Street","Wee Waa","2388","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-30.225439000000001","149.44828699999999"
"Weipa Hospital","07 4082 3900","Lot 407 John Evans Drive","Weipa","4874","Qld","Torres and Cape","Northern Queensland","https://www.health.qld.gov.au/services/torres-cape/capeyork_weipa_hosp","Small hospital","Public","<50","-12.623419","141.881179"
"Wellington Health Service","02 6840 8200","30 Thornton Street","Wellington","2820","NSW","Western NSW","Western NSW","","Regional hospital with an emergency department","Public","<50","-32.549740999999997","148.951977"
"Wentworth Hospital","03 5027 2700","Silver City Highway","Wentworth","2648","NSW","Far West","Western NSW","www.wentworth.nsw.gov.au/services/healthdir.php","Regional hospital","Public","<50","-34.109983","141.922481"
"Wentworth Psychiatric Services","02 4734 2000","Derby Street","Penrith","2750","NSW","Nepean Blue Mountains","Nepean Blue Mountains","","Metropolitan hospital","Public","<50","-33.760249000000002","150.712613"
"Werribee Mercy Hospital","03 8754 3000","300 Princes Highway","Werribee","3030","Vic","Mercy Public Hospital Inc. (Vic)","North Western Melbourne","http://www.mercyhealth.com.au/meps/wmh/Pages/Welcome.aspx","Medium metropolitan hospital with an emergency department","Public","200-500","-37.886586999999999","144.698621"
"Werris Creek Hospital","02 6768 6600","22-34 North Street","Werris Creek","2341","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-31.346691","150.652513"
"Wesley Hospital Ashfield","1300 924 522","91 Milton Street","Ashfield","2131","NSW","","","https://www.wesleymission.org.au/find-a-service/mental-health-and-hospitals/wesley-hospitals/wesley-hospital-ashfield","","Private","<50","-33.8925","151.11666600000001"
"Wesley Hospital Kogarah","1300 924 522","7 Blake Street","Kogarah","2217","NSW","","","https://www.wesleymission.org.au/find-a-service/mental-health-and-hospitals/wesley-hospitals/wesley-hospital-kogarah","","Private","<50","-33.968262000000003","151.12896000000001"
"West Gippsland Healthcare Group [Warragul]","03 5623 0611","41 Landsborough Street","Warragul","3820","Vic","West Gippsland Healthcare Group","Gippsland","www.wghg.com.au","Medium regional hospital with an emergency department","Public","50-99","-38.173009","145.926804"
"West Wimmera Health Service [Jeparit]","03 5391 4222","2 Charles Street","Jeparit","3423","Vic","West Wimmera Health Service","Western Victoria","www.wwhs.net.au/","Regional hospital","Public","<50","-36.141131999999999","141.98468600000001"
"West Wimmera Health Service [Kaniva]","03 5391 4222","9 Farmers Street","Kaniva","3419","Vic","West Wimmera Health Service","Western Victoria","www.wwhs.net.au/","Regional hospital","Public","<50","-36.381385999999999","141.24600599999999"
"West Wimmera Health Service [Nhill]","03 5391 4222","45 Nelson Street","Nhill","3418","Vic","West Wimmera Health Service","Western Victoria","www.wwhs.net.au/","Small hospital","Public","<50","-36.334003000000003","141.65557899999999"
"West Wimmera Health Service [Rainbow]","03 5391 4222","2 Swinbourne Avenue","Rainbow","3424","Vic","West Wimmera Health Service","Western Victoria","www.wwhs.net.au/","Regional hospital","Public","<50","-35.903874000000002","141.99511200000001"
"West Wimmera Health Service [Rupanyup]","03 5363 1200","89 Cromie Street","Rupanyup","3388","Vic","West Wimmera Health Service","Western Victoria","http://www.wwhs.net.au/about_us","Regional hospital","Public","<50","-36.636571000000004","142.63184899999999"
"Western District Health Service [Coleraine District Health Service]","03 5553 2000","71 McLeod Street","Coleraine","3315","Vic","Western District Health Service (Vic)","Western Victoria","www.wdhs.net/coleraine/getting-here","Regional hospital","Public","<50","-37.599913000000001","141.69201799999999"
"Western District Health Service [Hamilton]","03 5551 8222","20 Foster Street","Hamilton","3300","Vic","Western District Health Service (Vic)","Western Victoria","http://www.wdhs.net/","Small hospital with an emergency department","Public","50-99","-37.736494999999998","142.03060600000001"
"Western District Health Service [Penshurst]","03 5552 3000","146 Cobb Street","Penshurst","3289","Vic","Western District Health Service (Vic)","Western Victoria","www.wdhs.net/penshurst/getting-here","Regional hospital","Public","<50","-37.877274999999997","142.282487"
"Western Gastroenterology Services","03 9318 3399","1/30 Eleanor Street","Footscray","3011","Vic","","","","","Private","<50","-37.792005000000003","144.88534300000001"
"Western Hospital","08 8356 1222","168 Cudmore Terrace","Henley Beach","5022","SA","","","www.westernhospital.com.au","","Private","50-99","-34.909970999999999","138.49966000000001"
"Western Hospital [Footscray]","03 8345 6666","160 Gordon Street","Footscray","3011","Vic","Western Health (Vic)","North Western Melbourne","www.wh.org.au","Large metropolitan hospital with an emergency department","Public","200-500","-37.792298000000002","144.887191"
"Western Private Hospital","03 9318 3177","1-9 Marion Sreet","Footscray","3011","Vic","","","www.westernprivatehospital.com.au","","Private","<50","-37.793044999999999","144.885932"
"Western Sydney Oncology & Infusion Centre","02 8837 9800","Westmead Specialist Centre Level 2, 16-18 Mons Road","Westmead","2145","NSW","","","www.westernsydneyoncology.com.au","","Private","","-33.802024000000003","150.982879"
"Westmead Hospital","02 8890 5555","166-174 Darcy Road","Westmead","2145","NSW","Western Sydney","Western Sydney","www.wslhd.health.nsw.gov.au/Westmead-Hospital","Major hospital with an emergency department","Public",">500","-33.804361999999998","150.98781099999999"
"Westmead Private Hospital","02 8837 9000","Corner of Mons and Darcy Roads","Westmead","2145","NSW","","","www.westmeadprivate.com.au/","","Private","100-199","-33.802864999999997","150.982382"
"Westmead Rehabilitation Hospital","02 8833 3555","7 Coleman Street","Merrylands","2160","NSW","","","www.pulsehealth.net.au","","Private","50-99","-33.819288","150.98105899999999"
"Westminster Day Surgery","08 9349 5555","476 Wanneroo Road","Westminster","6061","WA","","","www.westminsterdaysurgery.com","","Private","<50","-31.862769","115.82916299999999"
"Westside Private Hospital","07 3833 6701","Level 1, 32 Morrow Street","Taringa","4068","Qld","","","www.westsideprivate.com.au","","Private","<50","-27.491447999999998","152.98174499999999"
"Whyalla Hospital and Health Services","08 8648 8300","20 Wood Terrace","Whyalla","5600","SA","Country Health SA","Country SA","www.sahealth.sa.gov.au/whyallahospital","Medium regional hospital with an emergency department","Public","100-199","-33.033977","137.57755900000001"
"Wilcannia Multi Purpose Service","08 8083 8777","14 Ross Street","Wilcannia","2836","NSW","Far West","Western NSW","","Regional hospital with an emergency department","Public","<50","-31.557638000000001","143.385336"
"Williamstown Hospital","03 9393 0100","77B Railway Crescent","Williamstown","3016","Vic","Western Health (Vic)","North Western Melbourne","http://www.westernhealth.org.au/OurSites/WilliamstownHospital/Pages/default.aspx","Medium metropolitan hospital with an emergency department","Public","100-199","-37.863576000000002","144.89233899999999"
"Wilson Memorial Community Hospital, Murrurundi","02 6546 9000","59 O'Connell Street","Murrurundi","2338","NSW","Hunter New England","Hunter New England and Central Coast","","Regional hospital with an emergency department","Public","<50","-31.770408","150.83476400000001"
"Wimmera Base Hospital [Horsham]","03 5381 9111","83 Baillie Street","Horsham","3400","Vic","Wimmera Health Care Group","Western Victoria","www.whcg.org.au","Small hospital with an emergency department","Public","50-99","-36.712440999999998","142.20852199999999"
